               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10997,            0.028196,                   0,           0.0015333,                0.46,            0.001974,          0.00040439,            0.079727,             0.01659,                   0,              0.0748,              0.0028,              0.0028
                   1,             0.08456,            0.022564,                   0,           0.0026901,                 0.8,            0.036536,            0.009096,            0.066304,            0.012722,                   0,            0.048644,           0.0056436,           0.0056436
                   2,            0.079717,            0.019308,                   0,           0.0043127,                0.94,             0.13911,            0.040512,            0.056868,            0.011046,                   0,             0.02243,           0.0084297,           0.0084297
                   3,            0.073276,            0.018005,                   0,           0.0032667,                0.98,             0.27834,             0.07101,            0.073151,           0.0084497,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.070235,              0.0189,                   0,           0.0033333,                   1,             0.37759,             0.10001,            0.051651,           0.0092422,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.06086,            0.017712,                   0,            0.088386,                0.92,             0.17607,            0.041959,            0.058853,           0.0076491,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.059032,            0.017659,                   0,             0.47358,                0.48,             0.43846,             0.14952,            0.050936,           0.0083944,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.054241,            0.016438,                   0,             0.86045,             0.73991,             0.80118,             0.24003,             0.04543,            0.008325,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050117,             0.01652,                   0,             0.82884,                0.66,              0.8451,             0.44758,            0.039382,           0.0082374,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.047662,            0.016316,                   0,             0.82148,             0.73634,             0.84266,              0.3311,            0.039843,             0.00761,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.047676,               0.014,                   0,             0.80723,                0.76,             0.83823,             0.36066,             0.04147,           0.0068008,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.04612,            0.013654,                   0,             0.73205,                 0.8,             0.85616,             0.38664,            0.039146,           0.0070452,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.043219,            0.014486,                   0,             0.83513,             0.81058,             0.89792,             0.36668,            0.036386,           0.0065673,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044699,            0.013148,                   0,             0.83697,                0.82,             0.93649,             0.57541,            0.032808,           0.0061992,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.039347,            0.011505,                   0,             0.83292,             0.89739,             0.94875,             0.55273,            0.032859,           0.0057918,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038349,             0.01167,                   0,              0.9103,                 0.9,             0.96544,             0.41093,            0.033587,           0.0056434,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.038774,             0.01094,                   0,             0.85059,                0.96,             0.96191,             0.50414,            0.030764,           0.0052395,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.039137,               0.011,                   0,             0.92312,             0.96064,             0.98208,             0.49126,            0.031339,            0.004929,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.038157,            0.010214,                   0,             0.88968,                0.96,             0.96345,             0.44899,            0.033171,           0.0045876,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.033655,           0.0098438,                   0,             0.76268,             0.89985,             0.87147,             0.47854,             0.02829,           0.0045989,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.034776,           0.0093256,                   0,              0.9564,                0.96,             0.98456,              0.5895,            0.026232,           0.0044299,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035817,           0.0093112,                   0,             0.96921,                0.96,             0.98373,             0.52625,            0.027318,           0.0044527,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035139,           0.0091715,                   0,             0.95519,                0.96,             0.98426,             0.55441,            0.027905,            0.004155,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.034831,           0.0085549,                   0,             0.94063,                   1,             0.99109,             0.52316,            0.028982,           0.0040954,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.033878,           0.0092816,                   0,             0.90549,                   1,               0.976,             0.47274,            0.033216,           0.0041718,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.032302,            0.008932,                   0,             0.94166,                   1,             0.98492,             0.67634,             0.02714,           0.0039069,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033682,           0.0083904,                   0,             0.95634,                   1,             0.98856,             0.42312,             0.03193,           0.0039359,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.031051,           0.0086832,                   0,             0.95683,                   1,             0.98122,             0.49048,            0.025506,           0.0039412,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.03156,           0.0081045,                   0,             0.95896,                   1,             0.98856,              0.6673,             0.02408,           0.0037958,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030213,           0.0084714,                   0,             0.95908,                   1,             0.98543,             0.60657,            0.025388,           0.0037763,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.031694,           0.0078874,                   0,             0.98029,             0.99455,             0.98598,             0.66451,            0.023517,           0.0036666,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.029703,           0.0075984,                   0,             0.98014,             0.98708,             0.98833,             0.61277,            0.025086,           0.0037085,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.028713,           0.0075085,                   0,             0.97341,                0.96,              0.9862,             0.67487,            0.020728,           0.0037159,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.028139,           0.0076189,                   0,             0.97999,             0.97972,             0.99063,             0.66191,            0.024258,           0.0036423,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.028296,           0.0069918,                   0,             0.97989,             0.97464,             0.99107,             0.68049,            0.022744,           0.0035965,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.028226,           0.0071789,                   0,             0.95896,                   1,             0.98983,             0.70527,            0.022014,             0.00347,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.029549,            0.007677,                   0,             0.95989,                   1,             0.99269,             0.57362,            0.024546,           0.0035774,                   0,            0.006535,            0.006535,            0.006535
